author_i,year,high_sim_count,avg_similarity,trend
2964,2009,1,.93275893,
2964,2014,1,.91477263,
2965,2009,1,.91330063,
2969,1987,4,.87745363,
2972,1983,2,.89171767,
2972,1984,2,.93824053,0
2972,1985,2,.88340044,0
2973,2006,3,.87608683,
2973,2008,1,.85647231,
2973,2015,4,.87850058,
2973,2020,1,.89066964,
2974,2014,1,.95812893,
2975,2016,1,.88076776,
2976,2002,1,.8903017,
2991,1981,6,.88851178,
2991,1983,1,.89521921,
2991,1984,5,.86621356,4
2991,1985,2,.881271,-3
2991,1987,1,.86200672,
2991,1988,2,.91066992,1
2991,1993,1,.86279494,
2992,2008,1,.91130757,
2992,2009,1,.88668597,0
2992,2012,1,.85238206,
2993,2009,1,.87066901,
2993,2013,1,.85197216,
2993,2016,2,.87457716,
2994,1994,1,.88885522,
2994,1996,8,.8941226,
2994,1997,6,.86821443,-2
2994,1999,1,.93265259,
2994,2000,3,.86590946,2
2994,2004,5,.87068379,
2994,2006,4,.88714659,
2994,2008,2,.92014396,
2994,2009,17,.89341307,15
2994,2010,1,.89510429,-16
2994,2011,1,.92911172,0
2994,2012,5,.87876964,4
2994,2013,3,.89712566,-2
2994,2014,6,.87384725,3
2994,2015,6,.88110328,0
2994,2016,4,.87201279,-2
2994,2017,4,.85945749,0
2994,2020,1,.87805158,
2995,2004,1,.90611327,
3001,2012,1,.85937357,
3011,1987,1,.90822738,
3011,1990,1,.85154682,
3016,1989,1,.86324555,
3022,2009,1,.90113688,
3022,2012,1,.85005224,
3023,2006,1,.85272086,
3023,2008,1,.87029243,
3036,2008,1,.89806241,
3049,2009,2,.88431466,
3049,2011,1,.93331945,
3049,2013,1,.90460205,
3049,2017,1,.88308084,
3051,1986,2,.89118111,
3051,1987,2,.86702681,0
3051,1988,1,.85477,-1
3051,1989,1,.8747927,0
3051,1990,2,.9052999,1
3051,1991,2,.85776472,0
3051,1992,1,.89731729,-1
3051,1993,1,.88889909,0
3051,1994,2,.88240361,1
3051,1996,1,.88288778,
3051,1997,2,.88928127,1
3051,1998,1,.93397498,-1
3051,1999,2,.88646042,1
3051,2000,1,.86260968,-1
3051,2002,1,.91729999,
3051,2004,1,.88268644,
3051,2005,5,.87847292,4
3051,2006,1,.8613888,-4
3051,2008,1,.8656683,
3051,2009,4,.87738746,3
3051,2011,1,.86942053,
3051,2012,3,.91425115,2
3051,2013,1,.87574923,-2
3051,2014,1,.85159606,0
3051,2015,1,.92935002,0
3051,2018,1,.89733994,
3051,2019,1,.88698137,0
3051,2020,1,.88247323,0
3057,2009,1,.8836019,
3057,2010,1,.91524959,0
3057,2015,1,.92522031,
3057,2020,1,.91382092,
3057,2021,1,.86392093,0
3058,2007,1,.90937006,
3058,2012,1,.85754836,
3058,2013,1,.85980678,0
3058,2014,2,.87448955,1
3058,2015,4,.88362586,2
3058,2016,3,.86606765,-1
3058,2018,1,.85935462,
3064,2011,1,.88907486,
3064,2014,1,.95271426,
3064,2015,1,.86419761,0
3064,2016,1,.86394298,0
3064,2018,1,.86869705,
3065,1988,1,.91342586,
3065,1992,1,.87616563,
3069,2010,7,.90685189,
3069,2014,1,.89137256,
3069,2015,1,.8859477,0
3069,2016,1,.88689923,0
3078,2019,1,.85675699,
3090,2012,1,.87149984,
3093,1991,1,.85556602,
3096,1999,1,.91022235,
3101,2005,1,.88023007,
3101,2006,2,.85896397,1
3101,2007,1,.8618539,-1
3101,2009,4,.88340288,
3101,2010,1,.90269852,-3
3101,2011,3,.88134158,2
3101,2018,1,.92880446,
3103,2000,1,.92182052,
3107,2007,1,.89280891,
3112,2016,1,.89605224,
3127,1985,1,.89645582,
3132,2006,1,.88368428,
3132,2008,1,.85177767,
3132,2009,1,.88957423,0
3132,2011,1,.87826121,
3132,2013,2,.9034301,
3132,2015,1,.88053501,
3136,2004,1,.85460174,
3152,2008,1,.86007726,
3161,2020,1,.90011233,
3171,1990,1,.87533426,
3171,2002,1,.90453839,
3171,2005,1,.85072613,
3171,2008,5,.87340301,
3171,2010,1,.90971857,
3171,2012,2,.90707499,
3171,2016,1,.85290092,
3171,2020,1,.85564142,
3173,2005,2,.90821922,
3179,2009,1,.88073796,
3179,2014,1,.90391123,
3182,2018,1,.90679705,
3195,2016,1,.92703289,
3195,2017,1,.86026013,0
3195,2019,1,.86262918,
3199,2007,1,.87693769,
3199,2016,1,.93145406,
3213,2004,1,.90825307,
3213,2006,1,.90906072,
3213,2007,2,.87124634,1
3218,2010,1,.87971711,
3218,2013,1,.90269232,
3218,2016,2,.89776748,
3251,2014,1,.85882926,
3258,1989,1,.87527156,
3258,2021,1,.86797404,
3261,2009,1,.90455723,
3261,2010,1,.90454477,0
3261,2011,1,.86000061,0
3267,2017,1,.87214202,
3267,2019,1,.86020708,
3269,1984,1,.96041834,
3269,1985,1,.85150576,0
3269,1991,1,.87028348,
3269,1993,1,.92727804,
3282,2010,1,.92888737,
3282,2013,1,.88801557,
3282,2016,2,.92961258,
3282,2020,1,.86135674,
3295,2018,1,.93537313,
3296,2021,1,.89028198,
3314,2016,1,.8610568,
3314,2020,1,.90375769,
3315,2008,1,.85309416,
3319,2014,1,.88240755,
3321,2016,1,.89224714,
3324,2017,1,.88932556,
3335,2004,1,.90290082,
3340,1998,1,.88939303,
3342,2014,1,.89848858,
3342,2016,1,.90094721,
3360,2012,1,.90325481,
3360,2017,1,.91243285,
3361,2006,3,.88908988,
3361,2015,1,.9046756,
3361,2020,1,.9130832,
3361,2021,1,.90618134,0
3365,2008,2,.85664916,
3365,2011,1,.8820619,
3378,2010,1,.8876977,
3381,2006,1,.88620049,
3381,2010,1,.88510686,
3382,2015,1,.8557269,
3389,2016,1,.88461947,
3394,2019,1,.92934906,
3408,2009,1,.8722707,
3408,2015,1,.87523347,
3409,2002,1,.91039479,
3411,2019,1,.88946664,
3441,2014,1,.85043019,
3441,2015,1,.86062151,0
3441,2016,1,.87980187,0
3441,2018,1,.85079551,
3441,2020,1,.85194361,
3441,2021,1,.89958304,0
3445,2007,1,.89317071,
3457,2000,1,.87426066,
3457,2005,1,.88315624,
3458,2010,1,.87814748,
3463,2006,1,.85265636,
3468,2014,1,.85108906,
3468,2016,1,.88905716,
3498,2010,1,.88166177,
3520,2003,1,.89265347,
3520,2005,1,.87140417,
3520,2007,1,.85890174,
3520,2012,1,.87268996,
3520,2020,1,.90346718,
3538,2012,1,.87909561,
3538,2015,2,.89381051,
3538,2018,1,.91256785,
3548,2015,1,.8509258,
3560,2021,1,.93419826,
3562,2007,1,.90878475,
3562,2008,1,.85410583,0
3602,2010,1,.87267685,
3602,2013,1,.93439817,
3602,2015,1,.85488749,
3605,2003,1,.91871428,
3608,2013,1,.90964162,
3608,2015,1,.86152607,
